City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,vadso,70.0744,29.7487,-8.51,73,20,5.66,NO,1712029235
178,talnakh,69.4865,88.3972,-11.97,94,100,7.32,RU,1712029236
179,santa cruz del sur,20.7147,-77.9956,23.71,73,8,5.34,CU,1712029237
180,kruisfontein,-34.0033,24.7314,17.16,79,12,4.26,ZA,1712029238
181,rio gallegos,-51.6226,-69.2181,11.03,50,0,6.17,AR,1712029238
182,sattahip,12.6664,100.9007,36.2,67,2,6.39,TH,1712029239
183,whitehorse,60.7161,-135.0538,0.43,74,100,3.09,CA,1712029240
184,invercargill,-46.4,168.35,17.23,69,62,2.68,NZ,1712029123
185,vorkuta,67.5,64.0,-9.54,82,100,5.51,RU,1712029242
186,khanty-mansiysk,61.0042,69.0019,-0.94,74,75,2.0,RU,1712029242
187,chemmumiahpet,15.8979,79.3213,34.31,31,0,2.96,IN,1712029243
188,greenville,35.6127,-77.3663,21.18,76,0,1.54,US,1712029152
189,pisco,-13.7,-76.2167,22.03,78,0,3.09,PE,1712029018
190,zhangzhou,24.5133,117.6556,21.96,64,73,1.83,CN,1712029245
191,kavieng,-2.5744,150.7967,29.53,71,94,3.84,PG,1712029246
192,eyl,7.9803,49.8164,27.97,75,20,4.87,SO,1712029248
193,santo antonio,-6.3106,-35.4789,24.48,93,100,2.16,BR,1712029248
194,gudari,19.35,83.7833,36.77,33,29,1.13,IN,1712029249
195,bosaso,11.2842,49.1816,27.86,71,92,3.18,SO,1712029250
196,pemangkat,1.1667,108.9667,28.69,73,90,0.4,ID,1712029118
197,palapag,12.5458,125.1147,30.22,62,29,5.14,PH,1712029251
198,leava,-14.3,-178.1667,29.66,79,84,8.24,WF,1712029160
199,kudymkar,59.0173,54.656,2.17,99,100,5.23,RU,1712029253
200,kaintragarh,20.7167,84.5333,37.43,23,0,2.32,IN,1712029254
201,al bardiyah,31.7561,25.0865,17.55,61,0,1.75,LY,1712029254
202,punta arenas,-53.15,-70.9167,8.06,71,0,6.69,CL,1712029255
203,sao joao da barra,-21.6403,-41.0511,21.9,88,69,1.92,BR,1712029256
204,mejit,10.2753,170.8646,27.39,72,100,6.81,MH,1712029257
205,ternate,0.8,127.4,29.18,72,77,4.37,ID,1712029181
206,saint-philippe,-21.3585,55.7679,24.77,86,99,7.74,RE,1712029259
207,jiexiu,37.0244,111.9125,20.18,56,91,2.9,CN,1712029259
208,bodden town,19.2833,-81.25,28.0,83,40,4.12,KY,1712029260
209,muna,20.4833,-89.7167,26.63,60,2,2.07,MX,1712029261
210,fale old settlement,-9.3852,-171.2468,29.72,73,33,4.3,TK,1712029262
211,acarau,-2.8856,-40.12,26.04,85,84,1.72,BR,1712029263
212,inhambane,-23.865,35.3833,22.82,89,56,2.3,MZ,1712029263
213,rudsar,37.1376,50.288,9.99,64,0,2.19,IR,1712029060
214,weno,7.4515,151.8468,31.97,74,75,3.09,FM,1712029265
215,tucuma,-0.1833,-50.05,25.2,94,85,2.07,BR,1712029266
216,novoishimskiy,53.1981,66.7694,0.91,96,56,3.08,KZ,1712029267
217,yung shue wan,22.2333,114.1167,29.07,80,11,2.24,HK,1712029268
218,dampit,-8.2116,112.7493,30.47,60,57,3.25,ID,1712029269
219,angaur state,6.906,134.13,28.26,77,99,7.56,PW,1712029270
220,zaysan,47.4667,84.8667,5.07,61,1,2.01,KZ,1712029243
221,torbat-e jam,35.244,60.6225,9.44,65,97,4.36,IR,1712029272
222,kapuskasing,49.4169,-82.4331,-3.0,50,0,3.6,CA,1712029273
223,saint-joseph,-21.3667,55.6167,24.21,85,100,7.67,RE,1712029273
224,thunder bay,48.4001,-89.3168,-3.05,86,0,0.51,CA,1712029187
225,pauini,-7.7136,-66.9764,23.02,99,100,1.71,BR,1712029275
226,newman,37.3138,-121.0208,19.13,77,0,1.34,US,1712029276
227,ancud,-41.8697,-73.8203,9.94,75,100,2.9,CL,1712029149
228,plettenberg bay,-34.0527,23.3716,16.0,75,0,4.61,ZA,1712029205
229,copiapo,-27.3667,-70.3333,14.83,69,0,0.36,CL,1712029040
230,mbala,-8.8402,31.3659,15.77,95,77,2.57,ZM,1712029279
231,weligama,5.9667,80.4167,30.36,65,89,1.76,LK,1712029226
232,boali,4.8005,18.1275,23.7,77,99,1.95,CF,1712029281
233,tazovsky,67.4667,78.7,-13.65,95,92,1.95,RU,1712029282
234,oranjemund,-28.55,16.4333,13.45,90,1,4.86,NA,1712029283
235,zhezqazghan,47.7833,67.7667,3.32,75,0,3.0,KZ,1712029050
236,klaksvik,62.2266,-6.589,4.51,70,100,13.65,FO,1712029284
237,fereydun kenar,36.6864,52.5225,13.06,67,3,1.98,IR,1712029191
238,sukagawa,37.2833,140.3833,14.36,30,0,6.17,JP,1712029202
239,silvan,38.1419,41.0081,5.16,57,24,1.3,TR,1712029287
240,idri,27.5,13.2667,20.36,17,0,3.41,LY,1712029287
241,morristown,36.214,-83.2949,21.03,76,100,3.6,US,1712029289
242,azadshahr,34.7909,48.5707,-0.73,80,0,1.03,IR,1712029290
243,salekhard,66.53,66.6019,-10.87,91,100,4.44,RU,1712029291
244,sawakin,19.1059,37.3321,26.14,78,89,4.61,SD,1712029292
245,yallahs,17.8748,-76.5624,27.85,86,2,3.3,JM,1712029293
246,tutoia,-2.7619,-42.2744,26.37,87,93,3.27,BR,1712029294
247,lubang,13.8584,120.124,28.13,75,29,8.23,PH,1712029296
248,hohhot,40.8106,111.6522,18.16,16,0,7.0,CN,1712029065
249,quellon,-43.1167,-73.6167,9.65,82,100,4.37,CL,1712029297
250,khandyga,62.6667,135.6,-7.98,85,100,1.1,RU,1712029298
251,mil'kovo,55.6078,37.7956,11.3,92,35,2.77,RU,1712029299
252,katerini,40.2719,22.5025,14.17,100,100,0.92,GR,1712029300
253,kwang binh,17.4833,106.6,33.55,48,0,1.79,VN,1712029301
254,pipar,26.3856,73.5378,30.12,17,91,3.18,IN,1712029303
255,labasa,-16.4167,179.3833,30.28,72,100,4.47,FJ,1712029065
256,cockburn town,21.4612,-71.1419,24.66,67,1,8.2,TC,1712029107
257,valozhyn,54.0909,26.5225,11.84,83,100,3.58,BY,1712029306
258,swift current,50.2834,-107.8014,4.45,56,0,3.09,CA,1712029172
259,taulaga,-11.0553,-171.0883,29.56,75,24,6.1,AS,1712029307
260,hotan,37.0997,79.9269,13.92,22,68,5.45,CN,1712029308
261,hammerfest,70.6634,23.6821,-8.75,92,100,2.06,NO,1712029309
262,lagoa,39.05,-27.9833,14.82,84,1,14.12,PT,1712029310
263,kill devil hills,36.0307,-75.676,13.0,93,0,3.6,US,1712029126
264,bandarbeyla,9.4942,50.8122,27.81,74,51,4.35,SO,1712029073
265,gela,37.0803,14.2307,10.3,68,92,2.74,IT,1712029312
266,dhekiajuli,26.7,92.5,28.45,48,0,3.74,IN,1712029313
267,manta,-0.95,-80.7333,25.88,78,75,5.81,EC,1712029313
268,santa flavia,38.085,13.5351,15.85,79,99,2.84,IT,1712029314
269,jamestown,42.097,-79.2353,7.8,65,40,5.66,US,1712029170
270,guerrero negro,27.9769,-114.0611,15.74,69,0,5.69,MX,1712029316
271,tura,25.5198,90.2201,30.92,27,0,3.25,IN,1712029317
272,zeya,53.75,127.2667,0.27,71,100,1.58,RU,1712029318
273,tarko-sale,64.9225,77.785,-6.09,91,79,2.39,RU,1712029318
274,san francisco ixhuatan,16.3569,-94.4825,26.31,80,7,2.02,MX,1712029320
275,bang saphan,11.2126,99.5117,35.73,33,0,2.2,TH,1712029293
276,fort st. john,56.2499,-120.8529,7.94,31,75,5.14,CA,1712029198
277,aconibe,1.2968,10.9369,20.87,97,100,0.5,GQ,1712029322
278,gwarzo,11.9152,7.9346,25.2,18,53,2.31,NG,1712029323
279,hamilton,39.1834,-84.5333,19.56,88,100,3.6,US,1712029323
280,minas de marcona,-15.2119,-75.1103,17.41,83,57,3.61,PE,1712029325
281,prince rupert,54.3161,-130.3201,8.05,93,100,12.86,CA,1712029326
282,dombarovskiy,50.7587,59.5386,3.89,100,100,3.13,RU,1712029327
283,al mindak,20.1588,41.2834,12.78,69,1,1.16,SA,1712029328
284,solhan,38.9634,41.0293,9.24,52,10,1.96,TR,1712029329
285,astrakhan,46.3497,48.0408,4.93,87,65,3.0,RU,1712029331
286,fort mcmurray,56.7268,-111.381,6.73,33,0,2.06,CA,1712029170
287,nova sintra,14.8667,-24.7167,19.05,81,21,8.31,CV,1712029332
288,balabac,7.9868,117.0645,29.75,67,41,6.52,PH,1712029333
289,malabar,-33.9667,151.25,22.84,78,75,5.14,AU,1712029333
290,tindouf,27.6711,-8.1474,15.25,67,0,5.66,DZ,1712029334
291,launceston,-41.45,147.1667,18.22,88,100,3.6,AU,1712029066
292,arteche,12.2645,125.4048,29.07,70,67,4.79,PH,1712029336
293,sarkand,45.41,79.9186,9.15,41,0,1.99,KZ,1712029336
294,ceres,37.5949,-120.9577,17.97,45,0,1.54,US,1712029131
295,oyama,36.3,139.8,18.71,17,9,3.11,JP,1712028806
296,green river,41.5286,-109.4662,3.88,74,83,1.61,US,1712029339
297,magdagachi,53.45,125.8,1.43,56,48,1.69,RU,1712029340
298,kimbe,-5.5502,150.1429,28.49,80,100,1.86,PG,1712029341
299,ghat,24.9647,10.1728,22.99,12,0,0.81,LY,1712029082
300,morehead city,34.7229,-76.726,19.01,88,0,5.14,US,1712029342
301,huancayo,-12.0667,-75.2333,11.72,90,99,0.99,PE,1712029047
302,haiku-pauwela,20.9219,-156.3051,25.12,80,40,11.32,US,1712029344
303,swakopmund,-22.6833,14.5333,14.47,89,70,0.89,NA,1712029130
304,dudinka,69.4058,86.1778,-11.85,93,100,10.28,RU,1712029346
305,kolonia town,6.964,158.206,32.06,79,100,4.12,FM,1712029347
306,minas,-34.3759,-55.2377,10.66,92,58,2.0,UY,1712029087
307,aasiaat,68.7098,-52.8699,-8.44,92,93,2.21,GL,1712029348
308,fallon,39.4735,-118.7774,8.93,61,20,2.57,US,1712029349
309,pangody,65.85,74.4859,-12.25,94,84,2.53,RU,1712029350
310,azul,-36.777,-59.8585,10.39,55,0,0.92,AR,1712029351
311,usinsk,65.9939,57.5281,-3.29,96,100,9.39,RU,1712029195
312,daura,11.5538,11.4085,27.25,35,96,2.49,NG,1712029352
